,类型,题目,答案
0,判断题,1.国家安全工作应当统筹内部安全和外部安全、国土安全和国民安全、传统安全和非传统安全、自身安全和共同安全。,Y
1,判断题,2.维护国家主权、统一和领土完整是包括港澳同胞和台湾同胞在内的全中国人民的共同义务。,Y
2,判断题,3.每年4月15日为全民国家安全教育日。,Y
3,判断题,4.全国人民代表大会依照宪法规定，决定战争和和平的问题，行使宪法规定的涉及国家安全的其它职权。,Y
4,判断题,5.因支持、协助国家安全工作，本人或者其近亲属的人身安全面临危险的，可以向公安机关、国家安全机关请求予以保护。,Y
5,判断题,6.公民和组织因支持、协助国家安全工作导致财产损失的，按照国家有关规定给予补偿。,Y
6,判断题,7、维护军事安全的任务包括开展国际军事安全合作，实施联合国维和、国际救援、海上护航和维护国家海外利益的军事行动。,Y
7,判断题,8、2017年4月15日是我国第二全民国家安全教育日。,Y
8,判断题,9、中央军事委员会依照宪法规定，决定战争和和平的问题。,N
9,判断题,10.为了维护国家安全，保卫人民民主专政的政权和中国特色社会主义制度，保护人民的根本利益，保障改革开放和社会主义现代化建设的顺利进行，实现中华民族伟大复兴，根据刑法，制定中华人民共和国国家安全法。,N
10,判断题,11.国家对在维护国家安全工作中作出突出贡献的个人和组织给予表彰和奖励。,Y
11,判断题,12.坚持国务院对国家安全工作的领导，建立集中统一、高效权威的国家安全领导体制。,N
12,判断题,13.全国人民代表大会常务委员会依照宪法规定，决定战争和和平的问题，行使宪法规定的涉及国家安全的其他职权。,N
13,判断题,14.国务院国家安全部门依照法律、行政法规行使国家安全审查职责，依法作出国家安全审查决定或者提出安全审查意见并监督执行。,N
14,判断题,15.公民和组织履行维护国家安全的义务不包括为国家安全工作提供便利条件或者其他协助。,N
15,判断题,16.特别行政区、特别行政区享有高度自治的权利，不需履行维护国家安全的责任。,N
16,判断题,17.对可能即将发生或者已经发生的危害国家安全的事件，县级以上地方人民政府及其有关主管部门应当立即按照规定向上一级人民政府及其有关主管部门报告，不可以越级上报。,N
17,判断题,18.维护国家安全，应当遵守宪法和法律，坚持社会主义法治原则，尊重和保障人权，依法保护公民的权利和自由。,Y
18,判断题,19.因协助反间谍工作，本人或者其近亲属的人身安全面临危险的，可以向国家安全机关请求予以保护。,Y
