,类型,题目,答案
0,判断题,1.党的十九大把坚持总体国家安全观列为新时代坚持和发展中国特色社会主义的基本方略之一。( ),对 
1,判断题,2.“坚持总体国家安全观，维护国家主权、安全、发展利益”，是政法工作应当遵循的原则之一。( ),对 
2,判断题,3.我国的国家安全，以政治安全为宗旨，以国土安全为根本，经济安全以为基础。( ),错
3,判断题,4.我国的国家安全，坚持人民利益至上。( ),错
4,判断题,5.十九届中央国家安全委员会第一次会议审议并通过了《党委（党组）国家安全责任制规定》( ),对
5,判断题,1．对当代中国来说，人民主权安全问题就是落实宪法、落实党章的问题，就是把国家权力真正落实到人民手里的问题。( ),对 
6,判断题,3.我国国家安全法律体系由宪法及其宪法相关法，国家安全刑事法，国家安全行政法，其他国家安全相关法等几部分组成。( ),对 
7,判断题,4.金融安全是国家安全的重要组成部分，是经济平稳健康发展的重要基础，是关系我国经济社会发展全局的一件带有战略性、根本性的大事。( ),对
8,判断题,5.传统媒体是意识形态工作的主战场、最前沿。( ),错
9,判断题,6.意识形态决定文化前进方向和发展道路。( ),对
10,判断题,7.国家安全和社会稳定是改革发展的前提。( ),对 
11,判断题,8.总体国家安全观包含的“国际安全理念”分别为：共同安全；综合安全；合作安全；可持续安全。( ),对 
12,判断题,9.坚持党对国家安全工作的领导，是做好国家安全工作的根本原则。各地区要建立健全党委统一领导的国家安全工作责任制，强化维护国家安全责任，守土有责、守土尽责。( ),对 
13,判断题,10.坚持党的领导是政治安全的重要组成部分，是实现国家利益的重要手段和维护国家安全的重要屏障。( ),错
14,判断题,1.对于危害国家安全的犯罪分子应当附加剥夺政治权利。( ),对 
15,判断题,2.明知自己的行为会发生危害社会的结果，并且希望或者放任这种结果发生，因而构成犯罪的，是故意犯罪。( ),对 
16,判断题,3.刑罚主刑的种类包括社区矫正、拘役、有期、无期徒刑和死刑。( ),错
17,判断题,4.组织、领导恐怖活动组织的处十年以上有期徒刑或者无期徒刑，并处没收财产。( ),对 
18,判断题,5.受过刑事处罚的人，在入伍、就业的时候，可以不向有关单位报告。( ),错
19,判断题,6.为参加恐怖活动组织、接受恐怖活动经费或者实施恐怖活动，偷越国（边）境的，处一年以上三年以下有期徒刑，并处罚金。( ),错
20,判断题,7.应当预见自己的行为可能发生危害社会的结果，因为疏忽大意而没有预见，或者已经预见而轻信能够避免，以致发生这种结果的，是过失犯罪。( ),对 
21,判断题,8.对于贪污贿赂犯罪案件，以及需要及时进行审判，经最高人民检察院核准的严重危害国家安全犯罪、恐怖活动犯罪案件，犯罪嫌疑人、被告人在境外，监察机关、公安机关移送起诉，人民检察院认为犯罪事实已经查清，证据确实、充分，依法应当追究刑事责任的，可以向人民法院提起公诉。( ),对
22,判断题,1.国家安全机关、公安机关在国家安全工作中依法行使预审、侦查、批准逮捕、执行逮捕、拘留以及法律规定的其他职权。( ),错
23,判断题,2.国家对在维护国家安全工作中做出突出贡献的个人和组织给予表彰和奖励。( ),对 
24,判断题,3.坚持国务院对国家安全工作的领导，建立集中统一、高效权威的国家安全领导体制。( ),错
25,判断题,4.全国人民代表大会常务委员会依照宪法规定，决定战争和和平的问题，行使宪法规定的涉及国家安全的其他职权。( ),错
26,判断题,5.国家安全部门依照法律、行政法规行使国家安全审查职责，依法作出国家安全审查决定或者提出安全审查意见并监督执行。( ),错
27,判断题,6.公民和组织履行维护国家安全的义务不包括为国家安全工作提供便利条件或者其他协助。( ),错
28,判断题,7.因支持、协助国家安全工作，本人或者其近亲属的人身安全面临危险的，可以向公安机关、国家安全机关请求予以保护。( ),对 
29,判断题,8.对可能即将发生或者已经发生的危害国家安全的事件，县级以上地方人民政府及其有关主管部门应当立即按照规定向上一级人民政府及其有关主管部门报告，不可以越级上报。( ),错
30,判断题,9.有关部门视情向中央国家安全领导机构提交国家安全风险评估报告。( ),错
31,判断题,10.维护国家安全，应当遵守宪法和法律，坚持社会主义法治原则，尊重和保障人权，依法保护公民的权利和自由。( ),对 
