,类型,题目,答案
0,填空题,1.国家安全是( )的重要基石，维护国家安全是( )。,安邦定国；全国各族人民根本利益所在
1,填空题,2.党的十九大报告指出，要完善国家安全战略和国家安全政策，坚决维护( )，统筹推进各项安全工作。,国家政治安全
2,填空题,3.党的十九大报告指出，要健全( )，加强国家安全法治保障，提高防范和抵御安全风险能力。,国家安全体系
3,填空题,4.党的十九届四中全会审议通过的《中共中央关于坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化若干重大问题的决定》指出，要加强建设( )，增强全民国家安全意识。,国家安全人民防线
4,填空题,5.《党章》总纲部分指出：坚持总体国家安全观，坚决维护国家主权、( )、( )。,安全；发展利益
5,填空题,6.习近平总书记指出，“我们党要巩固执政地位，要团结带领人民坚持和发展中国特色社会主义，保证国家安全是( )。”,头等大事
6,填空题,7.2018年4月17日，十九届中央国家安全委员会第一次会议审议通过了《( )》，明确了各级党委（党组）维护国家安全的主体责任。,党委（党组）国家安全责任制规定
7,填空题,1.坚持总体国家安全观，以( )为宗旨。,人民安全
8,填空题,2.坚持总体国家安全观，以( )为根本。,政治安全
9,填空题,3.坚持总体国家安全观，以( )为基础。,经济安全
10,填空题,4.坚持总体国家安全观，以( )为保障。,军事、文化、社会安全
11,填空题,5.坚持总体国家安全观，以( )为依托。,促进国际安全
12,填空题,6.国家安全的根本问题，就是( )。,国家政治安全问题
13,填空题,7.国家政治安全的根本问题，就是( )。,国家政权安全问题
14,填空题,8.国家政权安全的根本问题，是( )。,政权归属安全问题
15,填空题,9.政权归属安全的根本问题，是( )。,人民主权安全问题
16,填空题,10.( )决定，成立中央国家安全委员会，完善国家安全体制和国家安全战略，确保国家安全。,党的十八届三中全会
17,填空题,11.在当今世界，( )是一个国家制定和实施对外政策的主要依据，是调整国家对外关系的基本着眼点。,国家利益
18,填空题,12.( )是党中央在新时期对国际安全形势发展规律的新探索，明确传达了中国制定对外安全政策和处理国际安全问题的价值观和基本原则。,共同安全
19,填空题,13.( )是人民群众最基本、最普遍的愿望。实现中华民族伟大复兴的中国梦，保证人民安居乐业，( )是头等大事。,国泰民安；国家安全
20,填空题,14.国家安全涵盖领域十分广泛，( )在党和国家工作全局中的重要性日益凸显。我们正在推进具有许多新的历史特点的伟大斗争、党的建设新的伟大工程、，时刻面对各种风险考验和重大挑战。,中国特色社会主义伟大事业
21,填空题,15.坚持总体国家安全观。统筹发展和安全，增强( )，做到居安思危，是我们党治国理政的一个重大原则。,忧患意识
22,填空题,16.我国发展仍处于( )，我们要增强信心，从当前我国经济发展的阶段性特征出积习难改，适应新常态，保持战略上的平常心态。,重要战略机遇期
23,填空题,17.我们要注意跨越“( )”、“中等收入陷阱”。前一个是政治层面的，就是要处理好同美国等大国的关系。后一个是经济层面的，就是要提高我国经济发展质量和效益。,修昔底德陷阱
24,填空题,18.暴力恐怖活动漠视基本人权、践踏人道正义，挑战的是人类文明共同的底线，既不是( )，也不是( )，而是各族人民的共同敌人。,民族问题；宗教问题
25,填空题,19.中国坚定奉行独立自主的( )，尊重各国人民自主选择发展道路的权利，维护国际公平正义，反对把自己的意志强加于人，反对干涉别国内政，反对以强凌弱。,和平外交政策
