,类型,题目,答案
0,简答题,1.党的十九大报告对于坚持总体国家安全观，提出了统筹哪些安全的要求？,"统筹外部安全和内部安全、国土安全和国民安全、传统安全和非传统安全、自身安全和共同安全。 
"
1,简答题,2.党的十九届四中全会审议通过的《中共中央关于坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化若干重大问题的决定》，对完善国家安全体系提出了怎样的要求？,"坚持总体国家安全观，统筹发展和安全，坚持人民安全、政治安全、国家利益至上有机统一。以人民安全为宗旨，以政治安全为根本，以经济安全为基础，以军事、科技、文化、社会安全为保障，健全国家安全体系，增强国家安全能力。完善集中统一、高效权威的国家安全领导体制，健全国家安全法律制度体系。加强国家安全人民防线建设，增强全民国家安全意识，建立健全国家安全风险研判、防控协同、防范化解机制。提高防范抵御国家安全风险能力，高度警惕、坚决防范和严厉打击敌对势力渗透、破坏、颠覆、分裂活动。 
"
2,简答题,3.为什么要制定《国家安全法》？,"根据《国家安全法》第1条规定，为了维护国家安全，保卫人民民主专政的政权和中国特色社会主义制度，保护人民的根本利益，保障改革开放和社会主义现代化建设的顺利进行，实现中华民族伟大复兴，制定《国家安全法》 
"
3,简答题,4.什么是国家安全？,"根据《国家安全法》第2条规定，国家安全是指国家政权、主权、统一和领土完整、人民福祉、经济社会可持续发展和国家其他重大利益相对处于没有危险和不受内外威胁的状态，以及保障持续安全状态的能力。 
"
4,简答题,5.国家安全工作的指导思想是什么？,"根据《国家安全法》第3条规定，国家安全工作应当坚持总体国家安全观，以人民安全为宗旨，以政治安全为根本，以经济安全为基础，以军事、文化、社会安全为保障，以促进国际安全为依托，维护各领域国家安全，构建国家安全体系，走中国特色国家安全道路。 
"
5,简答题,6.《国家安全法》对中央国家安全领导机构的职责规定是什么？,"根据《国家安全法》第 5条规定，中央国家安全领导机构负责国家安全工作的决策和议事协调，研究制定、指导实施国家安全战略和有关重大方针政策，统筹协调国家安全重大事项和重要工作，推动国家安全法治建设。这里的“中央国家安全领导机构”，就是指中央国家安全委员会。 
"
6,简答题,7.维护国家安全要遵循哪些基本原则？,"按照总体国家安全观的要求，根据宪法和有关法律的规定，《国家安全法》明确了以下维护国家安全工作的原则：一是坚持法治和保障人权原则。二是坚持维护国家安全与经济社会发展相协调，统筹各领域安全。三是坚持促进共同安全。四是坚持预防为主、标本兼治，专门工作与群众路线相结合。 
"
7,简答题,8.维护国家安全的法治原则有哪些要求？,"根据《国家安全法》第 7条规定，维护国家安全，应当遵守宪法和法律，坚持社会主义法治原则，尊重和保障人权，依法保护公民的权利和自由。本条明确规定“尊重和保障人权，依法保护公民的权利和自由”，充分体现了现代法治精神，有效提升了国家安全法治化水平，有助于树立我民主、开放的大国形象。 
"
8,简答题,9.《国家安全法》对国家安全专门工作手段是如何规定的？,"根据《国家安全法》第 75条规定，国家安全机关、公安机关、有关军事机关开展国家安全专门工作，可以依法采取必要手段和方式，有关部门和地方应当在职责范围内提供支持和配合。“必要手段和方式”，既包括一般手段，也包括特殊手段。 
"
9,简答题,10.维护国家安全的坚持共同安全原则有哪些要求？,"根据《国家安全法》第 10条规定，维护国家安全，应当坚持互信、互利、平等、协作，积极同外国政府和国际组织开展安全交流合作，履行国际安全义务，促进共同安全，维护世界和平。 
"
10,简答题,11.为什么说维护国家安全是全社会的共同义务？,"《国家安全法》第 11条规定，中华人民共和国公民、一切国家机关和武装力量、各政党和各人民团体、企业事业组织和其他社会组织，都有维护国家安全的责任和义务。中国的主权和领土完整不容侵犯和分割。维护国家主权、统一和领土完整是包括港澳同胞和台湾同胞在内的全中国人民的共同义务。
"
11,简答题,12.国家安全工作中的哪些个人和组织予以表彰和奖励？,"根据《国家安全法》第12条规定，国家对在维护国家安全工作中作出突出贡献的个人和组织给予表彰和奖励。据此，表彰和奖励的对象是“在维护国家安全工作中作出突出贡献的个人和组织”。国家根据其贡献的大小给予不同的荣誉或者财物方面表彰、奖励，以示鼓励。 
"
12,简答题,13.《国家安全法》关于全民国家安全教育日是如何规定的？," 2014年 4月 15日，中央国家安全委员会第一次全体会议召开，在这次会议上，习近平总书记提出了“总体国家安全观”重大战略思想，为新形势下维护国家安全工作确立了重要遵循。4月15日，是一个具有重要里程碑意义的日子，因此将其确立为全民国家安全教育日，今后每年这个时间都要开展形式多样的宣传教育活动，在全社会营造时刻不忘国家安全的良好氛围。 
"
13,简答题,14.维护国家安全的责任主体有哪些？,"《国家安全法》从以下两方面规定有关主体维护国家安全的职责：一是中华人民共和国公民、一切国家机关和武装力量、各政党和各人民团体、企业事业组织和其他社会组织，都有维护国家安全的责任和义务。二是明确了全国人大及其常委会、国务院、中央军委、中央各部门和地方包括香港、澳门两个特别行政区维护国家安全的责任，并对国家机关及其工作人员履行职责应当贯彻维护国家安全的原则作出专门规定。 
"
